409|Bandeja Paisa|2|25000
409|Bandeja Paisa|3|25000
269|Bandeja Paisa|3|25000
269|Bandeja Paisa|3|25000
748|Bandeja Paisa|3|25000
756|Bandeja Paisa|3|25000
307|Bandeja Paisa|2|25000
307|Bandeja Paisa|1|25000
307|Bandeja Paisa|2|25000
791|Bandeja Paisa|2|25000
791|Bandeja Paisa|3|25000
879|Bandeja Paisa|1|25000
879|Bandeja Paisa|1|25000
14|Bandeja Paisa|2|25000
14|Bandeja Paisa|3|25000
664|Bandeja Paisa|1|25000
664|Bandeja Paisa|3|25000
173|Bandeja Paisa|1|25000
288|Bandeja Paisa|2|25000
117|Bandeja Paisa|3|25000
117|Bandeja Paisa|3|25000
33|Bandeja Paisa|2|25000
958|Bandeja Paisa|3|25000
958|Bandeja Paisa|2|25000
661|Bandeja Paisa|1|25000
661|Bandeja Paisa|3|25000
76|Bandeja Paisa|3|25000
819|Bandeja Paisa|2|25000
819|Bandeja Paisa|1|25000
819|Bandeja Paisa|3|25000
855|Bandeja Paisa|3|25000
341|Bandeja Paisa|2|25000
341|Bandeja Paisa|1|25000
772|Bandeja Paisa|2|25000
