409|1|11||Mesero sim
269|1|16||Mesero sim
748|1|6||Mesero sim
756|2|0|Domicilio simulado|Mesero sim
307|2|0|Domicilio simulado|Mesero sim
791|1|13||Mesero sim
879|2|0|Domicilio simulado|Mesero sim
14|1|9||Mesero sim
664|1|17||Mesero sim
173|1|14||Mesero sim
288|1|20||Mesero sim
117|2|0|Domicilio simulado|Mesero sim
33|1|15||Mesero sim
958|1|12||Mesero sim
661|1|3||Mesero sim
76|2|0|Domicilio simulado|Mesero sim
819|2|0|Domicilio simulado|Mesero sim
855|2|0|Domicilio simulado|Mesero sim
341|2|0|Domicilio simulado|Mesero sim
772|2|0|Domicilio simulado|Mesero sim
